Project,Rule,Failed Control
eplus-cco-ide-06-46bd,gke-gke-cluster-ead0c139-all,tcp:all ports
eplus-cco-ide-06-46bd,gke-gke-cluster-ead0c139-all,udp:all ports
eplus-cco-ide-06-46bd,gke-gke-cluster-ead0c139-ssh,public target: 34.78.221.31/32
eplus-cco-ide-06-46bd,gke-gke-cluster-ead0c139-ssh,public target: 130.211.56.16/32
eplus-cco-ide-06-46bd,gke-gke-cluster-ead0c139-ssh,public target: 104.155.63.40/32
eplus-cco-ide-06-46bd,gke-gke-cluster-ead0c139-ssh,bad port(s) found: ['tcp:22']
eplus-cco-ide-06-46bd,gke-gke-cluster-ead0c139-vms,bad port(s) found: ['tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535']
eplus-cco-ide-06-46bd,gke-gke-cluster-ead0c139-vms,bad port(s) found: ['udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535']
eplus-cus-ide-04-05cb,gke-cus-badgen-2982aec1-all,tcp:all ports
eplus-cus-ide-04-05cb,gke-cus-badgen-2982aec1-all,udp:all ports
eplus-cus-ide-04-05cb,gke-cus-badgen-2982aec1-ssh,public target: 35.200.85.165/32
eplus-cus-ide-04-05cb,gke-cus-badgen-2982aec1-ssh,bad port(s) found: ['tcp:22']
eplus-cus-ide-04-05cb,gke-cus-badgen-2982aec1-vms,bad port(s) found: ['tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535']
eplus-cus-ide-04-05cb,gke-cus-badgen-2982aec1-vms,bad port(s) found: ['udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535']
eplus-cus-ide-04-05cb,k8s-276ea5d9a9777eea-node-http-hc,public target: 130.211.0.0/22
eplus-cus-ide-04-05cb,k8s-276ea5d9a9777eea-node-http-hc,public target: 35.191.0.0/16
eplus-cus-ide-04-05cb,k8s-276ea5d9a9777eea-node-http-hc,public target: 209.85.152.0/22
eplus-cus-ide-04-05cb,k8s-276ea5d9a9777eea-node-http-hc,public target: 209.85.204.0/22
eplus-cus-ide-04-05cb,k8s-fw-a2080939bcbf311ea95f842010a9201d,ip_range: 0.0.0.0
eplus-cus-ide-04-05cb,k8s-fw-a2080939bcbf311ea95f842010a9201d,bad port(s) found: ['tcp:80']
eplus-cus-ide-04-05cb,k8s-fw-a677f877ec03e11ea9cb042010a9201f,ip_range: 0.0.0.0
eplus-cus-ide-04-05cb,k8s-fw-a677f877ec03e11ea9cb042010a9201f,bad port(s) found: ['tcp:80']
eplus-mgf-ide-02-35b6,allow-internal-egress-eplus-mgf-ide-03,ip_range: 0.0.0.0
eplus-mgf-ide-02-35b6,allow-internal-egress-eplus-mgf-ide-03,tcp/udp:all ports
eplus-mgf-ide-02-35b6,gke-ns-kcl-eplus-mgf-ide-026d4670-all,tcp:all ports
eplus-mgf-ide-02-35b6,gke-ns-kcl-eplus-mgf-ide-026d4670-all,udp:all ports
eplus-mgf-ide-02-35b6,gke-ns-kcl-eplus-mgf-ide-026d4670-ssh,public target: 34.89.117.72/32
eplus-mgf-ide-02-35b6,gke-ns-kcl-eplus-mgf-ide-026d4670-ssh,public target: 35.246.55.75/32
eplus-mgf-ide-02-35b6,gke-ns-kcl-eplus-mgf-ide-026d4670-ssh,public target: 35.246.70.217/32
eplus-mgf-ide-02-35b6,gke-ns-kcl-eplus-mgf-ide-026d4670-ssh,bad port(s) found: ['tcp:22']
eplus-mgf-ide-02-35b6,gke-ns-kcl-eplus-mgf-ide-026d4670-vms,bad port(s) found: ['tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535']
eplus-mgf-ide-02-35b6,gke-ns-kcl-eplus-mgf-ide-026d4670-vms,bad port(s) found: ['udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535']
eplus-mgf-ide-02-35b6,k8s-ba765c258af82743-node-http-hc,public target: 209.85.204.0/22
eplus-mgf-ide-02-35b6,k8s-ba765c258af82743-node-http-hc,public target: 130.211.0.0/22
eplus-mgf-ide-02-35b6,k8s-ba765c258af82743-node-http-hc,public target: 35.191.0.0/16
eplus-mgf-ide-02-35b6,k8s-ba765c258af82743-node-http-hc,public target: 209.85.152.0/22
eplus-mgf-ide-02-35b6,k8s-fw-a583191c0c20611ea879042010a9a00f,ip_range: 0.0.0.0
eplus-mgf-ide-02-35b6,k8s-fw-a583191c0c20611ea879042010a9a00f,bad port(s) found: ['tcp:80']
sec-sen-ide-04-e4cd,test-egress,ip_range: 0.0.0.0
sec-sen-ide-04-e4cd,test-egress,tcp/udp:all ports
sec-sen-ide-04-e4cd,test-egress2,ip_range: 0.0.0.0
sec-sen-ide-04-e4cd,test-egress2,tcp/udp:all ports
sec-sen-ide-04-e4cd,test-egress3,ip_range: 0.0.0.0
sec-sen-ide-04-e4cd,test-egress3,tcp/udp:all ports
sec-sen-ide-04-e4cd,test-ingress,ip_range: 0.0.0.0
sec-sen-ide-04-e4cd,test-ingress,tcp/udp:all ports
sec-sen-ide-04-e4cd,test-vpc,ip_range: 0.0.0.0
sec-sen-ide-04-e4cd,test-vpc,bad port(s) found: ['tcp:22']
eplus-jrn-ide-01-0376,gke-jrnpoc-d9f403b0-all,udp:all ports
eplus-jrn-ide-01-0376,gke-jrnpoc-d9f403b0-all,tcp:all ports
eplus-jrn-ide-01-0376,gke-jrnpoc-d9f403b0-ssh,public target: 35.234.148.200/32
eplus-jrn-ide-01-0376,gke-jrnpoc-d9f403b0-ssh,public target: 35.189.81.76/32
eplus-jrn-ide-01-0376,gke-jrnpoc-d9f403b0-ssh,public target: 35.242.133.156/32
eplus-jrn-ide-01-0376,gke-jrnpoc-d9f403b0-ssh,bad port(s) found: ['tcp:22']
